school_name,subject_desc
YISHUN INNOVA JUNIOR COLLEGE,H1 PROJECT WORK
YISHUN INNOVA JUNIOR COLLEGE,H1 TAMIL LANGUAGE
YISHUN INNOVA JUNIOR COLLEGE,H2 CHINA STUDIES IN CHINESE
YISHUN INNOVA JUNIOR COLLEGE,H2 CHINA STUDIES IN ENGLISH
YISHUN INNOVA JUNIOR COLLEGE,H2 ART
YISHUN INNOVA JUNIOR COLLEGE,H2 BIOLOGY
YISHUN INNOVA JUNIOR COLLEGE,H2 CHEMISTRY
YISHUN INNOVA JUNIOR COLLEGE,H2 CHINESE LANGUAGE & LITERATURE
YISHUN INNOVA JUNIOR COLLEGE,H2 COMPUTING
YISHUN INNOVA JUNIOR COLLEGE,H2 ECONOMICS
YISHUN INNOVA JUNIOR COLLEGE,H2 LITERATURE IN ENGLISH
YISHUN INNOVA JUNIOR COLLEGE,H2 FURTHER MATHEMATICS
YISHUN INNOVA JUNIOR COLLEGE,H2 GEOGRAPHY
YISHUN INNOVA JUNIOR COLLEGE,H2 HISTORY
YISHUN INNOVA JUNIOR COLLEGE,H2 MATHEMATICS
YISHUN INNOVA JUNIOR COLLEGE,H2 MALAY LANGUAGE & LITERATURE
YISHUN INNOVA JUNIOR COLLEGE,H2 PHYSICS
YISHUN INNOVA JUNIOR COLLEGE,H2 TAMIL LANGUAGE & LITERATURE
YISHUN INNOVA JUNIOR COLLEGE,MALAY B
YISHUN INNOVA JUNIOR COLLEGE,TAMIL B
TAMPINES MERIDIAN JUNIOR COLLEGE,H1 CHINA STUDIES IN ENGLISH
TAMPINES MERIDIAN JUNIOR COLLEGE,H1 ART
TAMPINES MERIDIAN JUNIOR COLLEGE,H1 BIOLOGY
TAMPINES MERIDIAN JUNIOR COLLEGE,H1 CHEMISTRY
TAMPINES MERIDIAN JUNIOR COLLEGE,H1 CHINESE LANGUAGE
TAMPINES MERIDIAN JUNIOR COLLEGE,H1 ECONOMICS
TAMPINES MERIDIAN JUNIOR COLLEGE,H1 LITERATURE IN ENGLISH
TAMPINES MERIDIAN JUNIOR COLLEGE,H1 GEOGRAPHY
TAMPINES MERIDIAN JUNIOR COLLEGE,H1 GENERAL PAPER
TAMPINES MERIDIAN JUNIOR COLLEGE,H1 GENERAL STUDIES IN CHINESE
TAMPINES MERIDIAN JUNIOR COLLEGE,H1 HISTORY
TAMPINES MERIDIAN JUNIOR COLLEGE,H1 MATHEMATICS
TAMPINES MERIDIAN JUNIOR COLLEGE,H1 MALAY LANGUAGE
